Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-001215,01/08/2016 08:44,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3035,CASS AVE,899825.3,1024601,FALSE
16-001215,01/08/2016 08:44,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3035,CASS AVE,899825.3,1024601,FALSE
16-001257,01/08/2016 13:30,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4821,FARLIN AVE,893251.6,1035589,FALSE
16-001315,01/08/2016 19:12,10000,Homicide,HOMICIDE,2937,HEBERT ST,901415.1,1028745,FALSE
16-001335,01/08/2016 21:59,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1316,MADISON ST,907711.6,1024311,FALSE
16-001335,01/08/2016 21:59,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1316,MADISON ST,907711.6,1024311,FALSE
16-001335,01/08/2016 21:59,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1316,MADISON ST,907711.6,1024311,FALSE
16-001335,01/08/2016 21:59,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,1316,MADISON ST,907711.6,1024311,FALSE
16-001337,01/08/2016 22:25,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1009,ALLEN AVE,904097.4,1010435,FALSE
16-001337,01/08/2016 22:25,41013,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1009,ALLEN AVE,904097.4,1010435,FALSE
16-001399,01/08/2016 23:00,32111,Robbery,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,3429,DUNNICA AVE,893985.9,1002805,FALSE
16-001345,01/08/2016 23:15,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4400,WEST PINE BLVD,890261.6,1022090,FALSE
16-001355,01/08/2016 23:30,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4610,CHIPPEWA ST,885747.1,1003901,FALSE
16-001352,01/09/2016 00:05,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,3200,S KINGSHIGHWAY BLVD,886529.6,1007948,FALSE
